,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,days_since_last_tx,txs_avg_amount,amount_std,avg_cashout_amount,ratio_recent_vs_past_txs,ratio_recent_vs_past_amount,ratio_cashouts,ratio_transfers,inflation_pressure,days_since_last_ss,total_ss_past30d,total_ss_past90d,avg_ss_per_wk,avg_ss_duration_min,std_ss_duration_min,ratio_ss_time_recent_vs_past,ratio_events_sessios,ratio_failed_ss,total_opened_push,Churn
15040,635,54,7,124958.37258827238,1,1,1,143315.34213499012,2,141880.03008443903,228519.2194261492,157153.58983790327,-0.1027271104949888,-0.3608970246219583,-1.1387276093129197,-2.4289420820058765,0.05759093483493351,7,4,8,0.861478797213709,17.642458270558237,15.26148023938941,0.4810776756436842,-1.212037260738627,-2.935324708636616,2,1
13506,584,34,1,72712.53155934467,1,0,1,109315.90114684321,1,156980.5918903025,300379.2084378597,126440.02982113985,-0.0483959082157895,-2.269225361402646,-0.9586285690112467,-2.0323143294816424,0.10476194658261077,52,0,3,0.7046478962846547,10.088979579777204,7.20980006442922,-0.26381716224720364,-1.4733261172009364,-2.4898596334197616,0,1
702,725,46,6,0.0,2,1,0,161767.38,1,160033.09966480447,252993.34448359744,161705.98153846155,0.0840831172105412,0.5338082880315027,-1.2226649373380885,-2.1484344131667874,0.0223566394148635,11,3,10,0.9583333333333334,18.758586225095534,15.601946749634806,0.2418021010365506,-1.2321436812926323,-2.4849066497880004,1,0
6955,850,36,3,169025.83,1,1,0,174235.06,2,215052.3883695652,630685.4889862387,174406.95179487177,0.0757118217356963,1.042231272487204,-0.8437200390393196,-2.3353749158170367,0.0158928609985576,3,3,14,1.28,21.66561585177302,25.539264282724616,-0.4957520375946214,-1.4170660197866445,-3.49650756146648,5,0
5736,548,41,4,82596.8,1,0,1,55672.09,2,134880.11226190475,275477.5786112155,131891.80849056604,0.1670540846631662,0.2073464588812022,-1.140914668358799,-2.2966853708668573,0.0478232790996295,3,4,14,0.8846153846153846,12.962402174477562,7.836229035570712,-0.1918012458504287,-1.5686159179138452,-2.4849066497880004,6,0
12770,726,24,4,128765.38692089583,1,0,0,123059.1124273,3,113385.03128071116,141061.8029503345,170379.58941937605,-0.05993684884847349,0.37789769796765355,-1.182139854394222,-2.2262403814705602,0.02615496242304826,3,4,9,0.778799113943543,13.434253956825287,8.348328702406986,0.01191138180110575,-1.382954143288164,-2.945555821494894,3,1
14669,681,43,2,121797.38935924199,1,1,0,180779.25956767777,15,101103.64525400416,131409.0458447933,200624.77760923273,-0.10210466617681786,-2.2126767542114028,-1.0339883191378485,-2.5405167473827057,0.0517740905684201,9,3,8,0.8355544053788102,18.94662004303521,20.72765590131751,0.38001255844149573,-1.083057530295176,-2.6924954427292764,3,1
9653,456,57,4,112790.97463077685,1,1,0,72797.9792132902,5,151400.1438538666,225746.99372528776,148788.72016325255,-0.07272925801897208,-0.18557121544217028,-0.9192222216447464,-1.9868374882760265,0.031336759817713854,9,5,19,1.455596548308842,20.916485241641812,19.525026780044804,-0.6679517715625712,-1.2003303030113206,-3.4676896652288343,8,1
12795,622,53,6,0.0,2,0,0,102748.3330989308,1,102635.54609368919,145302.50724367058,125966.65994410457,0.15023094384968505,0.776812112892854,-1.1757469994221303,-2.515118833952628,0.03266592911223837,6,2,5,0.5558810248238816,17.09459748234489,16.006235032422005,0.9094864996005563,-0.8182467342840216,-2.4261304601464775,0,1
13262,626,31,6,175925.5935736347,1,1,0,112344.71833998036,4,84900.93860382518,116685.26990500228,138987.7467397482,-0.23382611897338426,-0.3280116906538705,-1.2248906163801783,-2.992959035220757,0.015548553531179381,15,2,5,0.8723937923357863,9.407999197999809,5.231775240399417,-0.18804484278129502,-1.8172189269705488,-2.298537262923348,5,1
7422,666,38,6,127043.09,1,1,1,8247.0,1,393475.8812,3631467.811596437,143994.33842105264,0.2791713827838723,-1.1368271810365254,-1.2428618975126564,-2.167810692129926,0.1108831623094213,15,2,9,1.0,14.958341263346298,9.990975528420556,-0.0447421351465599,-1.791759469228055,-2.4849066497880004,3,0
9995,824,43,3,111797.82188612908,1,1,1,28053.21373519749,4,156721.70282995567,360186.46887265914,159254.6191757096,-0.05176513045970333,0.24310369590383116,-1.1737935456869675,-1.7893111575138652,0.08114191097761801,4,1,3,0.45116935747284953,11.270763521871345,6.2006879345205865,0.34918285200892607,-2.387264979976163,-2.4053438958169493,1,1
13006,590,59,8,113183.97731193755,3,1,0,118581.58596095537,1,275594.56783249584,570996.2906862992,238503.38124770066,0.034261665798798545,0.019611659878291943,-0.6918748193265218,-2.718071460184969,0.04238509848846516,6,6,19,2.076923076923077,26.20083534255819,27.22832994487451,-0.25363483549223975,-0.49057054591523985,-3.682071977652892,20,1
1099,434,58,9,125801.03,2,1,0,60891.8,1,110426.93730769232,253028.49686322865,102602.65310344828,-0.1607732205877517,-0.1418962955582491,-1.252762968495368,-2.456735772821304,0.0273345363595986,3,1,8,1.1923076923076923,18.56721298489172,14.734447159690284,-0.8001830080984799,-0.9808292530117262,-2.367123614131617,2,1
2011,460,27,7,0.0,2,1,0,156150.08,1,137748.13235294115,366884.604863302,129386.14888888889,0.0683192439774772,1.442898792704403,-1.1765738301378217,-2.70805020110221,0.0079710468610687,7,2,6,0.5769230769230769,13.311924770138882,7.837214550647635,0.1959153507289434,-1.3862943611198906,-2.772588722239781,3,1
15169,591,51,5,94155.73702965329,2,1,0,160994.2665808168,1,318277.1212779707,818536.8133096021,241646.97538561592,0.07400896238586097,0.5943885734393161,-0.6291052523861517,-2.6666895408662756,0.029779236761070884,6,5,12,1.8464948689128216,27.377449002894124,30.01945018818733,0.27076642797715506,-0.9125547830421903,-3.177133626821505,17,1
11538,711,42,4,0.0,1,1,0,71040.73044440444,5,117946.00303002217,160709.62502030702,149209.22223745595,-0.04605358564079311,0.047255969617658905,-1.3790612089710987,-2.3750653495365945,0.03306208217942179,27,0,7,0.7940001561712781,14.652769765566376,9.466715179861774,-0.7992902786360557,-1.574925977101441,-2.8853391240510704,3,1
7071,622,40,4,99799.76,2,1,0,197372.13,2,136208.28749999998,266186.26955719304,140634.4956,0.1190593600159881,0.9384325920038888,-1.274502955131774,-2.3353749158170367,0.0149578337147664,6,6,16,1.1538461538461535,16.515543461840306,10.909161821612152,-0.2978798369863957,-1.642227735257091,-2.740840023925201,4,0
14041,590,45,5,113389.85131347564,2,0,1,49163.0572886975,1,265433.2076291956,389549.44208463683,233732.6001826562,-0.017802374523138306,0.039442037770100524,-0.626856503029237,-2.6562494252858757,0.04261582561150427,1,6,17,1.807733790779195,33.70545212467313,31.662490530320063,-0.258337007914787,-0.5011895750641565,-3.8383762874302425,14,1
13175,691,36,4,96190.41392150137,2,1,0,63769.56579338086,2,151272.25230807817,213979.87998796612,179134.29377987777,-0.03926658743142612,0.08033017357500893,-1.143839029567257,-2.049447408460024,0.02544924390230855,39,2,6,0.7873891621240646,15.876158530507903,10.327751630518502,-0.26402735379947617,-1.3137943293893968,-2.031541628923768,4,1
13044,670,50,9,128576.10553213788,1,0,0,124303.7042150557,2,158488.00813717468,466057.51563958614,132771.14156027167,-0.04676698752502291,-0.8216458512989115,-1.1111036084234986,-2.2564407158515496,0.056361273514108384,7,2,10,1.04366792877944,17.085416206155777,11.851108093368202,-0.634258616033359,-1.0948506867112402,-2.8809294076459353,3,1
9140,735,39,1,60374.98,1,1,0,40223.74,2,156799.52081967212,243624.0580265515,136531.32266666667,-0.1385861632861466,-0.2905143446956088,-1.3545456628053103,-2.0476928433652555,0.0566538410082177,9,4,5,0.631578947368421,8.808028743492281,3.607685987151169,0.445849690348353,-1.8718021769015916,-2.5649493574615367,0,0
4340,603,30,8,0.0,2,1,1,47536.46,1,143783.02493087557,244298.38637269367,182654.85166666663,-0.0923733201310152,0.3269810721713317,-1.2736211986157775,-2.4400560836226486,0.0316938334612569,3,10,17,1.3076923076923077,11.396066546734207,8.643524309747294,0.3500449297105942,-1.7635885922613588,-2.862200880929469,6,0
4511,580,36,3,74974.89,1,1,1,12099.67,1,140687.9481512605,217137.67698884167,106667.93142857142,0.6418538861723947,12.065108713221129,-1.203972804325936,-2.079441541679836,0.0426714935586301,7,2,4,0.375,7.115625574061735,3.135389510515328,-0.0582993567163934,-2.302585092994045,-2.302585092994045,2,0
10977,596,33,3,0.0,1,0,0,41695.575116226864,7,128745.5988854023,210188.342999479,80123.9792396723,-0.14910271727565771,-1.280695749693213,-1.1955849050820568,-1.86174481282108,0.046076744312048536,20,0,4,0.5931019502507143,8.148600362630177,4.589404944090327,-0.29276834928846307,-2.1968296176432864,-2.3357647917207895,0,1
6874,581,44,7,189318.16,2,1,0,45026.23,1,247970.3749714286,569917.9143948993,227115.443655914,0.0604091277955601,-0.2052445831397547,-0.6309294673907745,-3.256671021030261,0.053518695442474,37,0,13,1.7142857142857142,34.08618541966712,37.77244482773108,-2.3334010480845,-0.3528213746227423,-3.610917912644224,17,1
13263,617,37,2,106972.49122005055,1,0,0,191940.5209406363,6,148997.4928772222,179760.07989820783,193932.86887837964,-0.03349084313965689,-0.18460778182456805,-0.8860457296511888,-2.1346126754637362,0.02178523090068347,85,0,2,0.9572947023657671,15.529485159448935,12.328486738565877,-0.26872307120015326,-1.7275032555988519,-2.4406106470217215,1,1
1513,621,39,6,0.0,2,1,1,58883.91,1,125642.34473333336,175240.04540928896,149771.10040000002,0.1606823816904735,0.384702533336935,-1.0854542040905986,-3.071369687759611,0.0419398474930594,1,4,13,0.8461538461538461,24.931446278455883,19.227754761329027,-0.7501945610253379,-1.1895840668738362,-2.4423470353692043,4,0
1054,690,42,3,92578.14,2,0,0,70810.6,3,145105.03515789474,233206.9251531697,164129.33448275863,0.2689899394396282,0.7827401468200791,-1.1631508098056809,-2.4849066497880004,0.0349558449613348,6,6,26,1.3846153846153846,19.76114891131761,11.841766468020245,-0.3515181449623296,-1.413693335308005,-2.917770732084279,9,0
4662,420,31,1,108377.75,2,1,1,9904.63,4,182371.4997297297,216593.04097531948,221655.36,0.082238098236972,0.4607751551630082,-0.9295359586241756,-2.2512917986064958,0.0509664836308847,4,2,7,0.6,13.082086206498648,11.105339788752971,-0.0622834543904237,-1.3862943611198906,-2.772588722239781,1,0
12029,554,44,4,0.0,1,0,0,19142.899821624163,4,145405.9417915078,232532.74609014983,168492.59626061516,-0.02699918508108131,0.7869230170855057,-1.2259251003698979,-2.253683494620479,0.0305911715977968,20,2,4,0.750343568202663,10.547820582878078,5.185535085302681,0.24242131519014096,-1.4935258577140653,-2.879820218833956,1,1
13052,560,29,5,0.0,1,0,0,101223.63629089869,1,156316.9873537848,301085.4555214627,122042.77434709008,-0.05313093219289345,-0.3965705853624221,-1.2256157499078009,-1.9200707062211957,0.05663474554424581,2,3,7,0.6926900727224687,12.145407874181462,8.722968652462669,0.08824721899966541,-2.5771104108733,-2.8374279945816725,3,1
1182,512,24,6,0.0,2,1,0,37654.31,1,129475.51661943318,267022.7519946027,129013.93133802815,0.1053605156578261,0.4501218671370741,-1.241713132308783,-2.2533140439872628,0.0431900700686567,17,2,3,0.2777777777777778,4.9140646695191,3.6638043454172,0.1347896158150428,-1.791759469228055,-1.791759469228055,0,0
3718,567,59,3,0.0,2,1,0,25843.7,1,166327.875,213149.0247779969,243823.17,-0.0709517359722846,-0.1860016717493366,-1.1314021114911006,-1.824549292051046,0.0454044411243464,2,2,6,0.9615384615384616,28.16818064260492,32.32007400137703,0.462376758141183,-1.1786549963416462,-3.258096538021482,6,1
742,639,27,8,0.0,2,1,0,192247.35,1,147231.2082236842,278450.91031250433,166025.70500000002,0.0840831172105414,-0.1850104772261969,-1.3014711688108136,-2.1939512519912503,0.0267150440192347,1,2,3,0.6538461538461539,12.059043703518896,7.105509265041934,0.1647683808232997,-1.5040773967762742,-2.890371757896165,4,0
3623,608,56,5,0.0,2,0,1,153810.41,2,126028.83388235292,303394.5753342937,132344.0971698113,-0.0606246218164348,-0.6222712587617493,-1.1526795099383855,-2.576714199041123,0.0671011226326968,1,4,11,1.08,15.334065530007624,10.983197688623388,0.3977369146371416,-1.7227665977411035,-2.639057329615259,6,0
